id,Name,Age,Height,Weight,Crime,Banana consumption
62,Hillary Penas,32,171.9,34.7,1320,79.73
63,Laure Alsopp,19,151.7,33.5,845,77.59
64,Aylmer Foxten,23,158.7,43.700000000000001,1186,86.8900000000000005
65,Rey Crone,21,161.4,34.9,922,71.73
66,Hailey Perton,37,159.0,34.8,1068,93.1
67,Hildagard Wilcott,35,170.6,33.0,1107,90.32
68,Drusi Biffen,30,182.1,25.1,1126,61.77
69,Ollie Vernham,30,157.9,45.7,1102,89.03
70,Aretha Helstrom,35,168.1,37.1,1320,86.57
71,Currie Mathwen,31,167.1,43.600000000000001,1129,91.5200000000000005
72,Louisette Harvett,20,161.4,52.0,765,71.58
73,Ian Lince,26,157.7,49.6,1081,79.54
74,Ron Sargeaunt,35,165.3,34.2,1063,88.76
75,Isac Coots,44,175.5,33.4,716,94.8
76,Betsey Tanman,27,162.7,39.4,952,70.94
77,Elinore Matityahu,2,154.5,47.5,894,55.05
78,Dorey Chezelle,15,146.4,53.7,688,63.93
79,Sonnie Okill,15,164.1,52.8,804,80.12
80,Madge Spratling,35,167.0,46.2,1296,82.1
81,Krissie Gillitt,26,167.3,39.8,1203,80.36
82,Vanni Hamnet,28,169.6,38.3,1157,78.47
83,Belle Fearby,29,166.8,44.900000000000001,744,81.5100000000000005
84,Rogers Dilon,36,169.1,36.6,967,95.42
85,Birk Slad,38,178.5,44.9,1331,92.35
86,Buiron Layman,40,165.2,53.1,840,96.59
87,Nathanil MacFall,29,162.8,34.600000000000001,1010,79.1600000000000005
88,Felicity Vose,35,160.8,39.7,1147,93.11
89,Darb Brewett,22,166.4,36.8,1097,82.38
90,Ignazio Thewys,22,163.0,47.9,857,84.15
91,Ash Spender,39,165.1,35.0,1105,82.02
92,Koralle Hellwich,26,157.2,34.9,1379,70.09
93,Maggi Bleue,26,177.7,34.5,1259,79.49
94,Ric Fruser,22,154.7,51.6,872,73.44
95,Dorie Matschuk,33,166.0,40.2,895,84.7
96,Tomasine Gioan,30,164.9,51.1,994,87.13
97,Tabbatha Lincoln,0,146.1,40.6,916,52.82
98,Waite Neagle,17,150.0,50.4,742,80.0
99,Krystal Marritt,28,159.7,43.1,476,80.49
100,Ulrikaumeko MacArte,30,166.1,47.6,1038,87.12
101,Gabriel Dundon,28,168.4,45.4,1193,91.78
102,Dodie Standall,35,157.5,47.2,974,92.6
103,Adi Asken,26,156.2,50.9,695,77.09
104,Maje Kellert,34,167.7,24.4,1242,84.24
105,Grayce Bartholomaus,19,172.3,46.1,846,78.91
106,Beatrisa Kinsley,21,152.7,48.1,1170,70.09
107,Currie Tupper,28,160.5,36.8,1262,94.3
108,Brade Renfrew,42,179.8,34.3,1041,104.61
109,Rodie Kunc,37,163.0,39.9,957,100.05
110,Konstantine MacMenamy,21,161.7,44.3,1013,87.79
111,Kerry Lorait,30,163.1,45.2,1216,82.22
112,Wald Vanshin,44,172.7,40.0,991,92.34
113,Granthem Casbourne,35,163.3,40.7,911,94.71
114,Remy Danielot,32,163.6,47.3,774,84.87
115,Purcell Nazer,19,158.4,43.4,935,76.38
116,Janaya Georghiou,19,163.4,40.6,1449,83.08
117,Susy Blackmuir,32,170.2,36.2,1346,97.04
118,Rosmunda Gorini,34,165.6,51.0,987,84.32
119,Jeanna Harkess,11,161.3,46.5,965,72.01
120,Marketa Gatrill,39,164.2,40.4,1354,104.64
121,Mac Quick,18,156.3,43.400000000000001,558,86.7600000000000005
122,Massimiliano Poyzer,53,168.0,30.5,815,110.25
123,Yevette Quarlis,38,182.9,43.1,1107,88.73
124,Quintus Stealey,30,165.8,40.1,1088,71.91
125,Debby Nisard,31,165.9,47.500000000000001,892,80.7300000000000005
126,Ikey Raddin,21,153.0,44.2,678,76.3
127,Layton Prendergrass,34,162.0,41.4,1076,96.1
128,Lem Littlecote,22,162.4,31.0,940,76.28
129,Portia Remirez,45,168.7,34.0,1374,89.34
130,Fairfax Coopman,38,172.5,38.5,886,92.75
131,Chariot Tabner,38,165.3,42.4,821,92.96
132,Tressa Nation,15,151.9,31.0,1194,68.18
133,Javier Ackery,30,168.4,42.8,1203,87.98
134,Kym Scrauniage,13,164.7,41.2,1048,67.64
135,Danyelle Askell,25,170.6,33.9,842,67.77
136,Bartel Gulleford,40,169.0,36.5,980,95.65
137,Royall Geering,34,154.4,38.6,976,78.88
138,Alikee Fawdrie,13,149.3,41.3,926,63.81
139,Lamond D'Elia,37,162.8,36.4,956,85.86
140,Jeannine Sweeten,29,165.0,43.900000000000001,1046,75.2500000000000005
141,Dunn Huguet,4,158.2,52.7,923,73.79
142,Daryl MacLoughlin,31,167.6,43.500000000000001,978,86.9700000000000005
143,Karalynn Gaylor,43,169.6,43.4,1463,104.92
144,Iggy Bodker,27,160.6,46.3,742,85.87
145,Roderick Brampton,23,155.6,41.200000000000001,832,77.5200000000000005
146,Bettye Mintoft,27,175.4,35.0,1286,81.88
147,Martelle Abrahm,30,159.8,33.2,1202,85.66
148,Emmye Moorton,19,152.4,44.0,974,63.78
149,Maurita Dybell,27,166.2,45.8,1187,96.04
150,Madelle Daynter,30,164.1,39.5,754,99.77
151,Dev Abrahamian,5,139.8,46.9,1018,61.81
152,Fleurette Hammett,51,168.7,36.6,921,99.74
153,Rowena Hutson,14,157.7,51.7,686,61.19
154,Feliks Hayter,28,169.1,40.1,913,82.07
155,Tedman Kulis,28,168.3,34.8,1116,84.56
156,Rheta Martygin,34,166.5,28.8,616,85.6
157,Dunc Ramsbotham,41,164.7,40.4,1065,90.54
158,Spense Govinlock,37,169.6,34.5,1220,93.77
159,Gerrie Whether,38,168.3,47.9,1125,93.91
160,Alphonso Baynom,36,170.7,33.7,1082,88.19
161,Roma de Bullion,17,159.4,49.0,920,71.48
162,Courtnay Le Grand,43,182.8,29.8,793,105.46
163,Stearn Battman,27,154.9,47.2,800,80.18
164,Ferdinanda Baynard,36,170.2,35.6,1282,84.74
165,Bronson Peschke,34,165.0,41.5,796,84.15
166,Yvon Brisset,22,167.8,46.0,757,74.86
167,Matti Wakely,40,170.1,37.7,867,95.67
168,Ginevra Hartman,32,163.4,37.9,992,98.83
169,Hazel Bryer,17,151.5,50.4,1193,71.7
170,Marie-ann O'Rudden,32,178.2,39.6,1116,85.54
171,Genny Labusquiere,22,160.6,46.6,774,85.42
172,Constancia Charnock,28,168.1,38.2,877,80.42
173,Petunia Kunzel,27,161.6,43.6,979,90.42
174,Esther Rushman,38,176.0,39.1,1588,79.55
175,Romola Klima,25,158.9,51.0,974,76.48
176,Ettore Coxhead,26,170.1,38.4,683,74.72
177,Reinhard Overshott,36,163.9,37.3,972,87.93
178,Bronny Weitzel,44,170.9,38.4,1476,97.38
179,Katina Ruppelin,33,162.9,44.0,1038,85.28
180,Leah Tassell,22,169.4,40.1,1221,73.03
181,Cleve Ekkel,46,171.0,33.3,808,93.15
182,Lonnie End,34,171.4,35.0,1106,90.98
183,Shellie Whiteman,25,167.5,49.4,1336,98.5
184,Dolf Schulter,32,157.7,40.8,783,84.74
185,Bess Anglin,33,162.4,43.9,1124,94.83
186,Arliene Tanman,28,160.3,40.9,653,82.01
187,Terrel Haliburton,40,162.1,25.9,993,77.37
188,Kris Fawloe,20,164.4,48.7,602,81.73
189,Marijo Khan,30,159.8,48.1,1203,85.91
190,Loutitia Estcot,33,165.8,50.3,944,77.11
191,Kassey Laingmaid,16,160.7,39.8,1091,69.64
192,Jacqueline Del Checolo,33,171.3,28.1,912,73.41
193,Addy McInerney,40,177.5,40.3,1198,100.25
194,Kalindi O'Sherin,32,170.1,42.2,896,83.52
195,Culley Salla,29,163.2,38.100000000000001,948,75.8900000000000005
196,Melitta Colqueran,42,170.3,38.2,1019,96.46
197,Moore Foston,19,170.3,39.8,1196,78.46
198,Collin Wenham,20,160.2,35.4,923,71.44
199,Shirlene Annetts,37,166.5,50.0,968,93.2
200,Oralia Tavner,37,156.5,31.5,1180,90.35
201,Germaine Mulderrig,25,167.4,31.4,679,73.48
202,Nico Dakhno,33,164.8,51.5,1176,103.11
203,Joelly Guess,28,155.2,35.0,1129,81.34
204,Shea Warne,34,172.5,34.3,693,89.35
205,Braden Mix,47,172.2,31.0,1308,99.44
206,Phyllis Roder,28,158.7,35.4,938,76.14
207,Valaria Fountain,43,174.0,41.0,1147,96.9
208,Catie Disley,25,165.4,48.5,958,74.63
209,Aldo Sommerled,19,149.5,48.0,1260,77.8
210,William Arnaldi,6,139.8,30.6,754,49.56
211,Colette Madison,28,159.5,45.0,1048,82.7
212,Jarad Normanville,41,172.0,38.2,1223,97.4
213,Adelbert Rooms,32,164.1,41.0,897,85.32
214,Isidro Gingold,23,157.5,40.100000000000001,945,78.4500000000000005
215,Bridget Ferrone,55,183.2,40.3,1023,108.99
216,Minni Sweeten,25,166.4,33.9,1100,79.43
217,Tarrance Widdows,31,164.2,26.800000000000001,502,84.5400000000000005
218,Becca Dondon,32,175.1,40.1,844,86.67
219,Enrika Clows,21,168.0,34.5,1381,72.35
220,Raye MacCallester,36,164.8,35.6,1098,81.26
221,Regina Lodwig,35,171.0,47.7,793,94.35
222,Colene Kitteridge,33,161.5,41.4,840,79.2
223,Elianore Cowl,33,161.9,41.5,951,91.23
224,Kaleena Boffey,38,172.9,40.6,1192,87.38
225,Raimundo Kivelhan,31,171.7,44.900000000000001,862,86.3900000000000005
226,Mal Alenov,33,175.1,40.4,986,87.92
227,Euphemia Herity,20,162.0,39.0,808,70.1
228,Basilio Lansdale,31,170.7,32.800000000000001,856,82.1400000000000005
229,Gilda Mully,40,170.9,31.8,1296,90.78
230,Isac Satteford,21,157.4,47.8,878,76.88
231,Matthiew O'Shirine,14,162.0,52.4,821,65.0
232,Querida Milstead,40,175.5,33.9,963,84.75
233,Sheila-kathryn Barnsdall,32,166.7,46.0,1428,92.84
234,Ginger Carloni,34,170.3,52.8,556,91.56
235,Dulsea Kesey,35,161.9,47.5,1221,78.13
236,Sara Angus,12,159.3,54.8,630,68.66
237,Roland Posten,40,178.3,32.2,1201,97.86
238,Collete Fullicks,26,156.4,42.9,1215,64.63
239,Jillene Crosham,40,175.9,43.9,1148,86.43
240,Ninnetta Kilduff,23,161.1,41.500000000000001,1246,61.3700000000000005
241,Cate Ratt,30,173.1,42.6,950,78.82
242,Eduardo Fontenot,33,169.5,40.2,636,85.5
243,Osbourne Holdron,21,167.7,54.2,1024,84.54
244,Elnora Rontree,25,158.3,36.4,1065,68.06
245,Standford Wickenden,38,174.2,50.6,1191,95.04
246,Boris MacKereth,25,168.6,38.2,1132,81.22
247,Veronica Ryan,54,168.0,34.2,1229,107.4
248,Ive Archibould,31,168.2,32.700000000000001,981,76.2900000000000005
249,Adrea Houten,23,157.9,39.100000000000001,767,75.5300000000000005
250,Keeley Moyne,17,162.1,47.0,826,72.02
251,Bob Trask,32,175.4,47.1,790,93.03
252,Dar Franzotto,42,180.1,27.1,1224,92.37
253,Petronia Ingerson,43,168.5,27.2,1350,88.0
254,Mirabelle Fresson,17,156.3,37.2,900,68.66
255,Ronica Durnan,14,148.2,45.6,975,73.14
256,Melita Bagnold,32,174.6,33.7,1121,88.97
257,Cal Trolley,21,164.0,37.2,942,70.2
258,Sheri Juschke,32,161.7,45.1,1099,92.69
259,Dalli Cinderey,23,164.4,45.300000000000001,766,88.6300000000000005
260,Margette Screach,15,168.7,45.7,1067,69.89
261,Arleen Iskow,26,162.0,57.5,983,88.35
262,Catherine Pedrielli,44,162.5,39.7,755,97.95
263,Romeo Mountain,22,159.7,42.8,815,66.14
264,Bing Gomersal,23,170.0,35.500000000000001,814,73.8500000000000005
265,Barry Shilston,41,172.9,35.7,963,89.53
266,Kenny Poltun,18,161.1,41.800000000000001,949,65.0200000000000005
267,Monro Gietz,26,164.2,38.8,1234,79.44
268,Dun Dobell,26,164.8,47.6,1032,78.16
269,Bambi Cocksedge,26,165.2,45.4,1094,70.54
270,Milly Askham,25,165.6,39.7,779,81.07
271,Elia Cess,30,166.8,49.3,1010,98.51
272,Samuel Puddefoot,26,169.4,42.6,936,65.18
273,Scot Briance,42,170.1,34.1,1036,89.87
274,Terrie Hyndes,42,167.6,42.3,1083,98.87
275,Berti O'Glessane,31,167.8,41.500000000000001,1257,86.7100000000000005
276,Murry Love,34,167.2,45.8,824,93.94
277,Burt Alder,19,153.9,40.5,957,81.13
278,Selby Stranks,26,162.0,37.8,1139,76.0
279,Dewey Kharchinski,32,165.5,44.5,919,94.65
280,Mycah Grimwade,25,159.6,39.8,1239,69.82
281,Tobiah Esland,45,176.4,35.9,840,95.63
282,Jorey Shires,25,165.0,40.6,930,92.8
283,Jeddy Roblou,33,170.1,41.5,1018,90.77
284,Laurianne Rossi,12,153.5,56.4,1140,78.0
285,Lacy de Banke,36,162.3,39.6,951,76.66
286,Engelbert Gilliatt,34,168.7,33.0,506,80.34
287,Wain Singleton,43,171.8,36.6,1000,82.66
288,Thaine Coultar,26,163.0,48.2,970,88.4
289,Pattin Hanigan,28,160.6,39.3,1251,86.07
290,Normy Hoogendorp,17,148.8,42.4,828,63.36
291,Marcela De Freitas,35,163.4,40.6,761,92.78
292,Jedidiah Dundridge,47,173.9,34.7,1119,104.33
293,Calypso Buckthorpe,31,160.1,47.500000000000001,1251,86.4700000000000005
294,Nichols Penkethman,35,170.6,39.6,723,91.52
295,Joann Twiname,25,158.3,40.9,1017,80.61
296,Junette McMichael,35,154.7,44.8,941,80.84
297,Griffie Andriuzzi,26,169.4,36.3,1180,76.23
298,Yolanda Willars,36,178.1,25.1,947,82.67
299,Abramo Locker,32,162.3,35.0,722,85.56
300,Elsey Skiplorne,26,170.2,59.3,1219,91.69
301,Sherman Bowcher,40,179.9,40.3,1173,103.43
302,Gwendolen Twohig,47,176.6,30.6,1298,101.22
303,Claudette Memmory,53,165.5,37.4,1207,99.4
304,Tarah Alldritt,19,158.5,37.3,1083,66.25
305,Lura Woollett,31,167.8,43.200000000000001,1172,78.5600000000000005
306,Dalt Cansdell,45,165.2,41.6,1265,107.74
307,Den Bish,29,154.9,43.300000000000001,801,70.9300000000000005
308,Erie Jendrich,16,161.0,59.0,1227,71.8
309,Carl Lacaze,31,163.3,44.200000000000001,935,85.4600000000000005
310,Fonzie Ezele,19,154.1,49.0,1180,80.62
311,Madlin Quinevan,33,164.1,38.1,1367,80.67
312,Sauveur Seyffert,27,161.1,47.0,874,76.32
313,Shawn Cisco,23,163.4,39.600000000000001,779,73.4800000000000005
314,Nappie Bridell,17,157.2,48.2,988,76.44
315,Timmie Mateo,24,164.8,43.300000000000001,1128,87.2100000000000005
316,Doralin Elcom,28,174.0,42.9,942,86.65
317,Zondra Eaton,22,164.6,42.6,1123,77.32
318,Lanita Parkes,42,165.2,33.5,572,87.99
319,Otis Huggen,9,162.9,46.4,1328,64.18
320,Vida Pirazzi,25,163.9,45.4,1058,74.58
321,Ryan Prydie,41,170.5,32.7,1172,91.25
322,Anette Covotti,25,149.8,38.5,968,73.11
323,Tracey La Vigne,17,155.1,45.7,1476,63.37
324,Cassondra Feek,51,173.0,45.1,892,98.25
325,Reinold Eseler,18,148.8,36.600000000000001,1063,56.5600000000000005
326,Karylin Lowings,49,163.3,25.2,1040,94.96
327,Nerta Wooderson,42,169.1,23.3,1067,90.57
328,Velvet Aleksashin,30,174.1,32.7,1207,80.67
329,Rosemonde Krug,39,170.2,43.5,992,102.49
330,Eden Aleksandrov,32,161.4,27.4,1235,87.48
331,Michell Sandall,25,162.2,40.2,431,76.04
332,Arluene Tassaker,33,161.3,44.2,1221,79.26
333,Javier Clynmans,42,161.3,32.6,921,82.86
334,Janaya Drysdall,44,172.7,45.1,1156,95.69
335,Kata Essam,47,186.0,35.5,1164,99.05
336,Marty Verecker,29,166.8,40.600000000000001,978,76.6600000000000005
337,Rodolphe Biggar,38,170.7,38.4,795,91.74
338,Jenny MacLaverty,29,159.4,44.500000000000001,876,86.4300000000000005
339,Ashley Chitham,38,173.1,34.0,954,83.72
340,Jarvis Sparway,20,160.2,36.0,800,65.24
341,Feodor Fulle,34,160.2,39.2,1199,84.74
342,Coreen Burds,33,171.4,31.1,1002,79.33
343,Lindsey Van Leeuwen,33,163.6,32.5,1651,74.77
344,Augusta Giscken,13,157.3,55.9,926,73.21
345,Jeno Lafford,28,163.1,42.6,784,79.02
346,Kare Dunkerley,18,163.3,41.600000000000001,1254,68.1600000000000005
347,Delano Wellings,22,164.6,38.2,1034,69.92
348,Kandace Yeomans,42,175.8,39.2,685,93.76
349,Minor Lampitt,34,161.2,33.1,738,86.39
350,Lorinda Dufore,22,171.9,41.6,1265,81.98
351,Drusy Tilt,19,153.8,50.0,1437,83.26
352,Fara O'Neil,40,179.1,36.9,889,99.97
353,Arleyne MacIlurick,29,166.0,46.400000000000001,1259,91.3000000000000005
354,Ashlen Patchett,45,168.6,35.6,1147,87.02
355,Ariel Coull,43,167.7,35.6,1120,99.34
356,Elset Stryde,23,164.9,46.300000000000001,1103,80.7300000000000005
357,Elayne Swepson,36,161.8,38.6,562,92.16
358,Marvin Hobden,18,169.8,40.100000000000001,1073,65.7100000000000005
359,Amaleta Slaymaker,18,154.3,32.800000000000001,712,66.2600000000000005
360,Neill Leethem,25,159.9,35.0,1047,70.48
361,Stefano Barkshire,19,158.9,46.5,878,78.83
362,Ivan Carous,0,152.3,58.0,1036,72.06
363,Dalia Loram,33,170.6,28.5,834,86.77
364,Padraig Donaway,33,160.3,44.5,1063,76.41
365,Merrel Niesel,40,163.3,43.7,745,88.51
366,Leonore Sprulls,47,167.8,40.7,997,107.21
367,Bald Stellman,17,165.4,42.6,766,72.78
368,Bliss Francesc,21,165.3,42.1,1045,68.61
369,Wilmette Malby,39,165.6,27.6,657,78.62
370,Deedee Galland,18,157.9,39.700000000000001,823,81.7300000000000005
371,Leonardo Klinck,51,181.9,38.8,904,106.68
372,Zonnya Leitch,20,159.9,49.8,1020,78.28
373,Maximilianus Willisch,29,154.3,43.600000000000001,838,73.7600000000000005
374,Amos Mackley,24,158.9,47.900000000000001,885,81.7300000000000005
375,Carly Sturgess,51,172.1,30.9,1115,107.37
376,Camellia Geistbeck,26,165.9,47.1,1294,82.73
377,Terri Bevis,49,170.7,33.1,1091,97.99
378,Billie Monkhouse,30,163.6,39.9,1080,80.47
379,Rutger Hansed,41,174.4,34.3,1104,100.93
380,Levey Margetson,29,172.6,37.300000000000001,1058,71.6700000000000005
381,Stephani Birtwisle,45,172.6,42.9,1241,98.17
382,Ardra Andriveaux,28,160.2,39.0,1070,84.64
383,Armstrong Lockhart,46,176.9,42.5,960,102.33
384,Marice Wheeldon,33,155.8,44.2,1084,87.06
385,Lacey Corner,30,168.4,39.4,1087,80.88
386,Eugenio Girardengo,45,173.6,42.1,1263,99.27
387,Orsola Younger,39,176.2,38.7,1135,97.39
388,Shantee Jacobi,38,161.9,39.6,750,86.38
389,Berty Botterill,30,158.5,35.2,1077,79.2
390,Rikki Pepper,21,159.3,39.2,816,81.36
391,Laurella Kabisch,30,166.3,28.7,984,67.71
392,Stesha Gepp,0,145.0,48.3,687,58.25
393,Jed Poulglais,15,153.7,51.5,1020,69.09
394,Nerta Heyns,14,159.2,53.6,1069,84.34
395,Evaleen Chattoe,41,176.2,24.5,1005,97.79
396,Nollie Vickery,28,172.4,37.8,1088,87.78
397,Konstantin Casin,9,150.0,52.6,1002,63.6
398,Dionysus Fanstone,36,170.6,36.1,860,93.17
399,Fredra Chetwynd,27,166.2,41.5,806,82.79
400,Frank Jallin,24,170.8,38.800000000000001,752,78.2600000000000005
401,Dawna Briers,33,158.7,51.7,1280,97.99
402,Catlin Hatchman,34,167.8,32.4,926,86.26
403,Maynord Gethyn,34,162.1,31.9,689,85.37
404,Noell Ballach,34,163.5,30.9,732,83.15
405,Ardyth Sexti,37,162.2,35.1,907,94.69
406,William Ickeringill,34,160.2,37.5,1013,82.29
407,Sissy Niece,36,166.7,39.1,863,86.59
408,Harland McFaell,36,172.8,48.5,702,89.11
409,Daffi Skippon,30,170.5,47.8,901,81.0
410,Junie Burkart,48,183.9,31.7,1384,103.73
411,Jaquenette Duck,42,177.7,34.4,925,91.64
412,Barry Humby,17,151.2,41.8,817,71.54
413,Otho Lesly,48,183.5,33.5,794,102.35
414,Sari Cluett,34,178.3,35.0,815,81.76
415,Daron Elsdon,29,161.2,39.800000000000001,1171,85.8400000000000005
416,Eliza Baynam,36,169.2,45.1,980,90.29
417,Bradly Creane,32,174.5,28.7,475,87.15
418,Gretel McCloud,22,148.2,34.9,1073,75.79
419,Iris Livezley,28,172.8,46.7,1016,78.11
420,Barret Rayworth,26,159.5,52.5,1347,84.35
421,Nathanial Espadater,26,155.2,49.8,1112,78.64
422,Berry Belliveau,23,163.3,39.000000000000001,1018,78.6600000000000005
423,Corbet Shergold,44,172.3,31.9,821,103.11
424,Tammara McGeorge,34,161.8,50.3,897,91.51
425,Jasmin Vobes,42,166.0,45.7,957,101.35
426,Pietra McKinnon,29,153.1,43.100000000000001,776,88.3700000000000005
427,Jaquelyn Matherson,23,168.7,43.800000000000001,1256,82.0400000000000005
428,Chad Burberow,55,186.4,38.0,1056,114.38
429,Willy Farish,25,170.4,47.9,1429,86.23
430,Paolo Croad,22,157.1,36.0,798,58.82
431,Hiram O'Fihily,33,159.4,52.9,1204,88.33
432,Bernetta Phipard-Shears,20,152.5,45.7,809,73.55
433,Theresa Ripping,28,160.5,48.8,1192,91.8
434,Duffie Buckley,23,151.7,48.800000000000001,833,79.3400000000000005
435,Rora Breckin,29,167.3,42.900000000000001,1167,84.2100000000000005
436,Darcie Hayth,24,157.4,52.600000000000001,1086,82.5800000000000005
437,Ara Vedeneev,38,173.0,44.2,1319,90.0
438,Chrissy Curd,22,157.8,43.3,721,75.31
439,Erastus Leeman,20,155.3,46.3,1288,75.91
440,Bianca Butfield,30,168.0,45.7,777,81.15
441,Alister Freer,27,163.0,40.4,1165,90.8
442,Bird Tebbe,33,170.3,41.6,1236,84.36
443,Andree Carratt,35,169.7,47.3,727,99.09
444,Giacobo Warfield,29,162.1,41.300000000000001,994,75.9700000000000005
445,Terrie Jubb,19,157.8,45.0,1149,77.06
446,Calypso Wodeland,21,171.3,44.8,1290,77.66
447,Joleen Swindley,31,168.5,40.000000000000001,972,71.9000000000000005
448,Thelma Cashford,43,154.7,43.1,661,111.69
449,Chelsey Graal,37,158.6,37.5,917,93.17
450,Nissy McWhorter,28,163.3,49.1,1071,85.81
451,Merline Krzysztof,16,163.4,36.5,951,64.83
452,Lancelot Nairns,26,155.4,44.7,1266,65.03
453,Denney Emeline,28,159.8,50.3,843,94.91
454,Arlie Eldritt,49,165.0,21.6,713,99.5
455,Flint Farrears,33,173.3,39.5,1031,78.51
456,Gustavo Gwilliam,28,161.1,35.6,1096,83.52
457,Wadsworth Cornfield,33,159.3,33.6,712,78.56
458,Mia Byham,33,171.3,34.3,931,78.11
459,Devon Noteyoung,12,156.7,48.5,931,73.49
460,Milt Mintrim,42,175.9,34.4,989,102.38
461,Lexi Sline,43,175.6,37.4,709,93.42
462,Ruperto Bellas,14,155.8,48.8,1473,63.96
463,Mela Dulwich,45,172.5,29.5,958,96.05
464,Bill Stenson,28,167.0,37.7,841,92.55
465,Trista Bugbird,30,172.5,43.7,746,92.75
466,Pauly Veregan,27,158.9,39.7,914,75.53
467,Vinnie Sapsed,23,163.2,46.600000000000001,720,83.3400000000000005
468,Stillman Tregenna,26,171.3,55.4,931,94.16
469,Skip Skaife d'Ingerthorpe,24,156.6,42.400000000000001,924,73.8200000000000005
470,Husein Chidley,50,178.7,33.3,753,98.69
471,Ninon Neicho,15,161.0,41.3,966,73.95
472,Willis Hofler,14,149.7,38.0,696,62.84
473,Corissa Ceresa,38,162.0,43.0,965,90.3
474,Hertha Pickersail,45,170.4,48.3,1384,114.83
475,Barbe Ciccone,42,167.6,39.8,1691,101.12
476,Lia Gotthard,23,167.4,39.200000000000001,1202,79.1800000000000005
477,Leann Treweek,18,158.9,43.200000000000001,970,71.8800000000000005
478,Pren Trass,16,165.6,41.9,1008,57.97
479,Audi Elfes,23,155.5,36.600000000000001,448,79.3000000000000005
480,Olivero De La Coste,27,163.0,44.3,709,82.15
481,Orran Goodnow,26,159.2,34.7,949,59.19
482,Aurore Kisbee,36,172.3,49.4,902,89.56
